artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
Soundgarden,[1098],0.296,0.929,0.716,105.312,-5.862,1,9,5.79E-06,0.000198,0.247,0.0906,0,146827,38,1991,10/8/1991,Drawing Flies
Soundgarden,[1098],0.509,0.95,0.705,126.591,-4.535,0,9,0.000132,0.00302,0.0937,0.061,0,312613,41,1994,3/9/1994,My Wave
Soundgarden,[1098],0.352,0.808,0.236,137.875,-4.907,1,7,0.000429,0.000634,0.0996,0.0345,0,347987,42,1994,3/9/1994,Limo Wreck
Soundgarden,[1098],0.355,0.754,0.201,142.203,-5.692,0,5,0.118,0.000936,0.175,0.0378,0,308867,40,1994,3/9/1994,4th Of July
Soundgarden,[1098],0.358,0.892,0.372,127.311,-10.567,1,9,0.00578,0.0357,0.215,0.0586,0,223973,30,1989,1/1/1989,Get On The Snake
Soundgarden,[1098],0.205,0.795,0.465,113.469,-7.478,1,2,0.00128,0.856,0.243,0.0499,0,237973,35,1990,5/11/1990,Nothing to Say - Remastered
Soundgarden,[1098],0.372,0.87,0.53,172.688,-5.6,0,4,0.000119,0.0319,0.108,0.0408,0,307507,36,1991,10/8/1991,Holy Water
Soundgarden,[1098],0.148,0.947,0.566,187.413,-4.839,1,0,4.53E-05,0.00187,0.0872,0.0958,0,232547,40,1994,3/9/1994,Let Me Drown
Soundgarden,[1098],0.443,0.682,0.429,96.211,-5.99,1,5,0.000425,7.47E-05,0.0833,0.0313,0,266360,40,1994,3/9/1994,Mailman
Soundgarden,[1098],0.457,0.569,0.219,137.28,-9.87,1,7,0.00359,5.06E-06,0.0746,0.0266,0,258373,42,1996,5/21/1996,Zero Chance
Soundgarden,[1098],0.461,0.836,0.35,95.993,-6.571,0,6,6.24E-05,0.471,0.131,0.0305,0,289880,35,1991,10/8/1991,Mind Riot
Soundgarden,[1098],0.413,0.825,0.565,83.185,-6.347,0,5,0.000135,0.252,0.108,0.0346,0,369773,39,1994,3/9/1994,Head Down
Soundgarden,[1098],0.458,0.902,0.827,92.712,-5.625,1,7,2.18E-05,0.195,0.258,0.0314,0,246920,39,1994,3/9/1994,********
Soundgarden,[1098],0.406,0.775,0.731,165.085,-8.791,0,5,0.000471,0.00765,0.243,0.0368,0,194467,39,1996,5/21/1996,Rhinosaur
Soundgarden,[1098],0.268,0.849,0.499,175.497,-9.531,0,6,0.00454,0.000574,0.547,0.0633,1,251040,28,1989,1/1/1989,Big Dumb ****
Soundgarden,[1098],0.291,0.949,0.296,133.93,-3.619,1,0,5.85E-05,0.233,0.856,0.0574,0,306920,38,1994,3/9/1994,Superunknown
Soundgarden,[1098],0.376,0.862,0.733,160.104,-9.347,1,0,0.00341,0.00552,0.0948,0.0352,0,274133,40,1996,5/21/1996,Dusty
Soundgarden,[1098],0.475,0.989,0.191,135.045,-9.261,1,0,0.00117,0.426,0.0815,0.0695,0,185360,40,1996,5/21/1996,Ty Cobb
Soundgarden,[1098],0.158,0.915,0.388,178.307,-6.066,1,9,0.000458,0.0145,0.487,0.124,0,261040,34,1991,10/8/1991,*********
Soundgarden,[1098],0.31,0.897,0.44,175.944,-5.155,0,0,2.32E-05,0.000879,0.13,0.0498,0,256507,38,1994,3/9/1994,Fresh Tendrils
Soundgarden,[1098],0.352,0.808,0.236,137.875,-4.907,1,7,0.000429,0.000634,0.0996,0.0345,0,347987,38,1994,3/9/1994,Limo Wreck
Soundgarden,[1098],0.416,0.566,0.232,95.455,-6.342,1,7,8.77E-06,0.373,0.182,0.0266,0,423973,38,1994,3/9/1994,Like Suicide
Soundgarden,[1098],0.338,0.735,0.153,105.192,-6.886,1,6,8.06E-05,3.00E-05,0.0732,0.0354,0,317693,46,2010,9/28/2010,Black Hole Sun
Soundgarden,[1098],0.281,0.803,0.308,149.196,-7.262,1,9,0.00946,0.952,0.18,0.101,0,273920,33,1990,5/11/1990,Entering - Remastered
Soundgarden,[1098],0.227,0.968,0.485,117.771,-5.483,1,0,5.07E-06,0.749,0.353,0.133,0,143840,34,1991,10/8/1991,Face Pollution
Soundgarden,[1098],0.416,0.566,0.232,95.455,-6.342,1,7,8.77E-06,0.373,0.182,0.0266,0,423973,37,1994,3/9/1994,Like Suicide
Soundgarden,[1098],0.407,0.941,0.655,91.662,-4.801,0,9,7.47E-06,0.0169,0.343,0.0409,0,94307,39,1994,3/9/1994,Kickstand
Soundgarden,[1098],0.213,0.767,0.387,174.259,-10.192,0,9,0.282,0.000134,0.0873,0.056,0,249160,26,1989,1/1/1989,Power Trip
Soundgarden,[1098],0.26,0.725,0.492,141.518,-9.87,0,4,0.000402,0.0429,0.0626,0.0397,0,366200,37,1996,5/21/1996,Tighter & Tighter
Soundgarden,[1098],0.568,0.621,0.221,124.59,-11.985,0,4,0.3,0.133,0.105,0.0367,0,261200,25,1989,1/1/1989,I Awake
Soundgarden,[1098],0.323,0.918,0.245,119.396,-5.679,1,5,6.66E-05,0.0258,0.118,0.0477,0,340147,32,1991,10/8/1991,New Damage
Soundgarden,[1098],0.413,0.825,0.565,83.185,-6.347,0,5,0.000135,0.252,0.108,0.0346,0,369773,38,1994,3/9/1994,Head Down
Soundgarden,[1098],0.407,0.941,0.655,91.662,-4.801,0,9,7.47E-06,0.0169,0.343,0.0409,0,94307,36,1994,3/9/1994,Kickstand
Soundgarden,[1098],0.246,0.958,0.163,132.498,-9.269,1,9,0.0136,0.076,0.121,0.0662,0,216933,24,1989,1/1/1989,Full On Kevin's Mom
Soundgarden,[1098],0.305,0.71,0.293,88.055,-8.296,1,6,0.164,0.855,0.112,0.0346,0,134587,36,1994,3/9/1994,Half
Soundgarden,[1098],0.359,0.619,0.568,113.92,-9.979,1,0,0.0012,0.0187,0.0854,0.0286,0,308693,35,1996,5/21/1996,Overfloater
Soundgarden,[1098],0.485,0.841,0.551,94.867,-6.068,0,2,0.000173,0.00686,0.125,0.0307,0,311000,63,1991,10/8/1991,Outshined
Soundgarden,[1098],0.307,0.917,0.266,101.879,-7.599,1,9,1.65E-05,0.00044,0.0566,0.0977,0,266200,62,1991,10/8/1991,Rusty Cage
Soundgarden,[1098],0.35,0.828,0.147,105.435,-5.373,1,6,0.000217,0.000161,0.0774,0.041,0,318587,76,1994,3/9/1994,Black Hole Sun
Soundgarden,[1098],0.457,0.902,0.834,92.711,-5.624,1,7,2.17E-05,0.196,0.258,0.0313,0,246920,68,1994,3/9/1994,********
Soundgarden,[1098],0.574,0.739,0.514,101.069,-5.745,0,4,0.00152,0.000328,0.141,0.0271,0,283027,66,1994,3/9/1994,Fell On Black Days
Soundgarden,[1098],0.319,0.803,0.589,183.031,-8.928,1,10,0.00534,0.0126,0.177,0.0394,0,290107,61,1996,5/21/1996,Burden In My ****
Soundgarden,[1098],0.472,0.752,0.305,133.248,-6.051,1,0,0.000164,0.181,0.0903,0.0555,0,320107,57,1994,3/9/1994,The Day I Tried To Live
